Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Residential_PV':7, 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':1:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':2:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':3:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':4:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':5:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':6:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Biomass_IGCC':7:'BioSolid', 0.0
Operation, HighFuelCosts, GenFuelUseRate, 'C-Coal_IGCC':1:'Coal', 0.0
